Sr. No.,Frame Material,Pane Material,Frame E [GPa],Frame K IC [MPa m^[1/2]],Frame alpha [1E-6/K],Frame k [W/m-K],Frame kappa [W m^2/J],Pane E [GPa],Pane K IC [MPa m^[1/2]],Pane alpha [1E-6/K],Pane k [W/m-K],Pane kappa [W m^2/J],Pane Area,Fillet Scale,Pane Depth,Frame Scale,Frame Safety Factor,Pane Safety Factor,Frame Fracture Factor,Pane Fracture Factor
225,C-SiC,BeO,80.0,32.0,3.0,13.0,4.642857142857143e-06,399.85200000000003,3.999632,7.704000000000001,264.53700000000003,8.237739357325106e-05,0.01,0.5,0.01,0.95,0.102,0.021,1.863,0.11
226,C-SiC,BeO,80.0,32.0,3.0,13.0,4.642857142857143e-06,399.85200000000003,3.999632,7.704000000000001,264.53700000000003,8.237739357325106e-05,0.01,0.25,0.01,0.975,0.088,0.019,1.474,0.105
227,C-SiC,BeO,80.0,32.0,3.0,13.0,4.642857142857143e-06,399.85200000000003,3.999632,7.704000000000001,264.53700000000003,8.237739357325106e-05,0.01,0.5,0.01,0.975,0.088,0.018,1.471,0.104
228,C-SiC,BeO,80.0,32.0,3.0,13.0,4.642857142857143e-06,399.85200000000003,3.999632,7.704000000000001,264.53700000000003,8.237739357325106e-05,0.1,0.25,0.01,0.95,0.054,0.014,0.287,0.027
229,C-SiC,BeO,80.0,32.0,3.0,13.0,4.642857142857143e-06,399.85200000000003,3.999632,7.704000000000001,264.53700000000003,8.237739357325106e-05,0.1,0.5,0.01,0.95,0.054,0.015,0.29,0.028
230,C-SiC,BeO,80.0,32.0,3.0,13.0,4.642857142857143e-06,399.85200000000003,3.999632,7.704000000000001,264.53700000000003,8.237739357325106e-05,0.1,0.25,0.01,0.975,0.086,0.019,2.299,0.117
231,C-SiC,BeO,80.0,32.0,3.0,13.0,4.642857142857143e-06,399.85200000000003,3.999632,7.704000000000001,264.53700000000003,8.237739357325106e-05,0.1,0.5,0.01,0.975,0.042,0.011,0.193,0.026
232,C-SiC,BeO,80.0,32.0,3.0,13.0,4.642857142857143e-06,399.85200000000003,3.999632,7.704000000000001,264.53700000000003,8.237739357325106e-05,0.1,0.25,0.025,0.95,0.136,0.028,2.311,0.131
233,C-SiC,BeO,80.0,32.0,3.0,13.0,4.642857142857143e-06,399.85200000000003,3.999632,7.704000000000001,264.53700000000003,8.237739357325106e-05,0.1,0.5,0.025,0.95,0.134,0.027,2.879,0.126
234,C-SiC,BeO,80.0,32.0,3.0,13.0,4.642857142857143e-06,399.85200000000003,3.999632,7.704000000000001,264.53700000000003,8.237739357325106e-05,0.1,0.25,0.025,0.975,0.116,0.024,2.023,0.121
235,C-SiC,BeO,80.0,32.0,3.0,13.0,4.642857142857143e-06,399.85200000000003,3.999632,7.704000000000001,264.53700000000003,8.237739357325106e-05,0.1,0.5,0.025,0.975,0.116,0.023,2.152,0.12
236,C-SiC,Ox-Ox,80.0,32.0,3.0,13.0,4.642857142857143e-06,146.15279999999998,3.0,1.9440000000000002,3.6309000000000005,4.3977028122333875e-07,0.01,0.25,0.01,0.95,1.055,0.416,28.484,0.602
237,C-SiC,Ox-Ox,80.0,32.0,3.0,13.0,4.642857142857143e-06,146.15279999999998,3.0,1.9440000000000002,3.6309000000000005,4.3977028122333875e-07,0.01,0.5,0.01,0.95,1.02,0.407,23.479,0.551
238,C-SiC,Ox-Ox,80.0,32.0,3.0,13.0,4.642857142857143e-06,146.15279999999998,3.0,1.9440000000000002,3.6309000000000005,4.3977028122333875e-07,0.01,0.25,0.01,0.975,1.142,0.424,76.711,0.66
239,C-SiC,Ox-Ox,80.0,32.0,3.0,13.0,4.642857142857143e-06,146.15279999999998,3.0,1.9440000000000002,3.6309000000000005,4.3977028122333875e-07,0.01,0.5,0.01,0.975,1.053,0.422,24.834,0.62
240,C-SiC,Ox-Ox,80.0,32.0,3.0,13.0,4.642857142857143e-06,146.15279999999998,3.0,1.9440000000000002,3.6309000000000005,4.3977028122333875e-07,0.1,0.25,0.01,0.95,0.994,0.427,31.121,0.819
241,C-SiC,Ox-Ox,80.0,32.0,3.0,13.0,4.642857142857143e-06,146.15279999999998,3.0,1.9440000000000002,3.6309000000000005,4.3977028122333875e-07,0.1,0.5,0.01,0.95,0.986,0.422,30.537,0.77
242,C-SiC,Ox-Ox,80.0,32.0,3.0,13.0,4.642857142857143e-06,146.15279999999998,3.0,1.9440000000000002,3.6309000000000005,4.3977028122333875e-07,0.1,0.25,0.01,0.975,1.016,0.428,28.595,0.767
243,C-SiC,Ox-Ox,80.0,32.0,3.0,13.0,4.642857142857143e-06,146.15279999999998,3.0,1.9440000000000002,3.6309000000000005,4.3977028122333875e-07,0.1,0.5,0.01,0.975,0.999,0.43,31.122,0.819
244,C-SiC,Ox-Ox,80.0,32.0,3.0,13.0,4.642857142857143e-06,146.15279999999998,3.0,1.9440000000000002,3.6309000000000005,4.3977028122333875e-07,0.1,0.25,0.025,0.95,1.844,0.748,36.032,0.903
245,C-SiC,Ox-Ox,80.0,32.0,3.0,13.0,4.642857142857143e-06,146.15279999999998,3.0,1.9440000000000002,3.6309000000000005,4.3977028122333875e-07,0.1,0.5,0.025,0.95,1.775,0.732,32.557,0.886
246,C-SiC,Ox-Ox,80.0,32.0,3.0,13.0,4.642857142857143e-06,146.15279999999998,3.0,1.9440000000000002,3.6309000000000005,4.3977028122333875e-07,0.1,0.25,0.025,0.975,2.057,0.804,25.823,1.061
247,C-SiC,Ox-Ox,80.0,32.0,3.0,13.0,4.642857142857143e-06,146.15279999999998,3.0,1.9440000000000002,3.6309000000000005,4.3977028122333875e-07,0.1,0.5,0.025,0.975,1.848,0.763,22.552,0.904
248,C-C,MgO,79.281,6.296124000000001,8.406,34.9258,2.1828625e-05,330.2226,2.8019399999999997,12.006,60.0,1.6271627705158106e-05,0.01,0.5,0.01,0.95,0.019,0.0,0.005,0.0
249,C-C,MgO,79.281,6.296124000000001,8.406,34.9258,2.1828625e-05,330.2226,2.8019399999999997,12.006,60.0,1.6271627705158106e-05,0.01,0.25,0.01,0.975,0.043,0.0,0.009,0.0
250,C-C,MgO,79.281,6.296124000000001,8.406,34.9258,2.1828625e-05,330.2226,2.8019399999999997,12.006,60.0,1.6271627705158106e-05,0.01,0.5,0.01,0.975,0.025,0.0,0.006,0.0
251,SiC-SiC,MgO,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,330.2226,2.8019399999999997,12.006,60.0,1.6271627705158106e-05,0.01,0.5,0.01,0.95,0.003,0.0,0.009,0.0
252,SiC-SiC,MgO,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,330.2226,2.8019399999999997,12.006,60.0,1.6271627705158106e-05,0.01,0.25,0.01,0.975,0.019,0.001,0.046,0.001
253,C-C,Alumina,79.281,6.296124000000001,8.406,34.9258,2.1828625e-05,379.8594,4.197416,8.298,35.9632,1.3944413425150443e-05,0.01,0.25,0.025,0.95,0.281,0.11,1.052,0.076
254,C-C,Alumina,79.281,6.296124000000001,8.406,34.9258,2.1828625e-05,379.8594,4.197416,8.298,35.9632,1.3944413425150443e-05,0.01,0.5,0.025,0.95,0.275,0.11,0.836,0.078
255,C-C,Alumina,79.281,6.296124000000001,8.406,34.9258,2.1828625e-05,379.8594,4.197416,8.298,35.9632,1.3944413425150443e-05,0.01,0.25,0.025,0.975,0.279,0.117,1.037,0.087
256,C-C,Alumina,79.281,6.296124000000001,8.406,34.9258,2.1828625e-05,379.8594,4.197416,8.298,35.9632,1.3944413425150443e-05,0.01,0.5,0.025,0.975,0.251,0.103,1.09,0.08
257,C-C,SCFS,79.281,6.296124000000001,8.406,34.9258,2.1828625e-05,74.4552,0.670268,0.5706,1.4990430000000001,9.041468934186751e-07,0.01,0.25,0.025,0.95,0.887,0.311,0.352,0.031
258,C-C,SCFS,79.281,6.296124000000001,8.406,34.9258,2.1828625e-05,74.4552,0.670268,0.5706,1.4990430000000001,9.041468934186751e-07,0.01,0.5,0.025,0.95,0.909,0.616,0.284,0.033
259,C-C,SCFS,79.281,6.296124000000001,8.406,34.9258,2.1828625e-05,74.4552,0.670268,0.5706,1.4990430000000001,9.041468934186751e-07,0.01,0.25,0.025,0.975,1.094,1.727,0.37,0.036
260,C-C,SCFS,79.281,6.296124000000001,8.406,34.9258,2.1828625e-05,74.4552,0.670268,0.5706,1.4990430000000001,9.041468934186751e-07,0.01,0.5,0.025,0.975,0.841,0.304,0.245,0.033
261,C-C,RBSN,79.281,6.296124000000001,8.406,34.9258,2.1828625e-05,219.9186,1.988828,3.294,14.99043,6.412743839835729e-06,0.01,0.25,0.025,0.95,0.969,0.109,2.494,0.062
262,C-C,RBSN,79.281,6.296124000000001,8.406,34.9258,2.1828625e-05,219.9186,1.988828,3.294,14.99043,6.412743839835729e-06,0.01,0.5,0.025,0.95,0.987,0.147,0.986,0.065
263,C-C,RBSN,79.281,6.296124000000001,8.406,34.9258,2.1828625e-05,219.9186,1.988828,3.294,14.99043,6.412743839835729e-06,0.01,0.25,0.025,0.975,1.314,0.16,33.679,0.082
264,C-C,RBSN,79.281,6.296124000000001,8.406,34.9258,2.1828625e-05,219.9186,1.988828,3.294,14.99043,6.412743839835729e-06,0.01,0.5,0.025,0.975,0.979,0.111,1.002,0.071
265,C-C,BN,79.281,6.296124000000001,8.406,34.9258,2.1828625e-05,35.848800000000004,4.99954,9.9,51.870000000000005,2.0648227763447025e-05,0.01,0.25,0.025,0.95,1.084,0.097,0.628,19.059
266,C-C,BN,79.281,6.296124000000001,8.406,34.9258,2.1828625e-05,35.848800000000004,4.99954,9.9,51.870000000000005,2.0648227763447025e-05,0.01,0.5,0.025,0.95,1.039,0.096,0.467,16.71
267,C-C,BN,79.281,6.296124000000001,8.406,34.9258,2.1828625e-05,35.848800000000004,4.99954,9.9,51.870000000000005,2.0648227763447025e-05,0.01,0.25,0.025,0.975,0.971,0.099,0.359,23.716
268,C-C,BN,79.281,6.296124000000001,8.406,34.9258,2.1828625e-05,35.848800000000004,4.99954,9.9,51.870000000000005,2.0648227763447025e-05,0.01,0.5,0.025,0.975,0.984,0.098,0.458,23.569
269,C-C,MgO,79.281,6.296124000000001,8.406,34.9258,2.1828625e-05,330.2226,2.8019399999999997,12.006,60.0,1.6271627705158106e-05,0.01,0.25,0.025,0.95,0.104,0.0,0.018,0.0
270,C-C,MgO,79.281,6.296124000000001,8.406,34.9258,2.1828625e-05,330.2226,2.8019399999999997,12.006,60.0,1.6271627705158106e-05,0.01,0.5,0.025,0.95,0.027,0.0,0.007,0.0
271,C-C,MgO,79.281,6.296124000000001,8.406,34.9258,2.1828625e-05,330.2226,2.8019399999999997,12.006,60.0,1.6271627705158106e-05,0.01,0.25,0.025,0.975,0.038,0.0,0.008,0.0
272,C-C,MgO,79.281,6.296124000000001,8.406,34.9258,2.1828625e-05,330.2226,2.8019399999999997,12.006,60.0,1.6271627705158106e-05,0.01,0.5,0.025,0.975,0.028,0.0,0.011,0.0
273,C-C,BeO,79.281,6.296124000000001,8.406,34.9258,2.1828625e-05,399.85200000000003,3.999632,7.704000000000001,264.53700000000003,8.237739357325106e-05,0.01,0.25,0.025,0.95,0.372,0.025,1.232,0.069
274,C-C,BeO,79.281,6.296124000000001,8.406,34.9258,2.1828625e-05,399.85200000000003,3.999632,7.704000000000001,264.53700000000003,8.237739357325106e-05,0.01,0.5,0.025,0.95,0.332,0.029,0.981,0.077
275,C-C,BeO,79.281,6.296124000000001,8.406,34.9258,2.1828625e-05,399.85200000000003,3.999632,7.704000000000001,264.53700000000003,8.237739357325106e-05,0.01,0.25,0.025,0.975,0.327,0.027,1.247,0.087
276,C-C,BeO,79.281,6.296124000000001,8.406,34.9258,2.1828625e-05,399.85200000000003,3.999632,7.704000000000001,264.53700000000003,8.237739357325106e-05,0.01,0.5,0.025,0.975,0.295,0.023,1.328,0.079
277,C-C,Ox-Ox,79.281,6.296124000000001,8.406,34.9258,2.1828625e-05,146.15279999999998,3.0,1.9440000000000002,3.6309000000000005,4.3977028122333875e-07,0.01,0.25,0.025,0.95,2.768,0.455,2.129,0.261
278,C-C,Ox-Ox,79.281,6.296124000000001,8.406,34.9258,2.1828625e-05,146.15279999999998,3.0,1.9440000000000002,3.6309000000000005,4.3977028122333875e-07,0.01,0.5,0.025,0.95,2.908,0.661,1.075,0.288
279,C-C,Ox-Ox,79.281,6.296124000000001,8.406,34.9258,2.1828625e-05,146.15279999999998,3.0,1.9440000000000002,3.6309000000000005,4.3977028122333875e-07,0.01,0.25,0.025,0.975,4.924,0.79,3.791,0.4
280,C-C,Ox-Ox,79.281,6.296124000000001,8.406,34.9258,2.1828625e-05,146.15279999999998,3.0,1.9440000000000002,3.6309000000000005,4.3977028122333875e-07,0.01,0.5,0.025,0.975,2.774,0.457,0.977,0.329
281,SiC-SiC,Alumina,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,379.8594,4.197416,8.298,35.9632,1.3944413425150443e-05,0.01,0.25,0.025,0.95,0.086,0.109,0.554,2.294
282,SiC-SiC,Alumina,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,379.8594,4.197416,8.298,35.9632,1.3944413425150443e-05,0.01,0.5,0.025,0.95,0.079,0.109,0.491,1.937
283,SiC-SiC,Alumina,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,379.8594,4.197416,8.298,35.9632,1.3944413425150443e-05,0.01,0.25,0.025,0.975,0.075,0.107,0.412,0.801
284,SiC-SiC,Alumina,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,379.8594,4.197416,8.298,35.9632,1.3944413425150443e-05,0.01,0.5,0.025,0.975,0.075,0.107,0.431,0.748
285,SiC-SiC,SCFS,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,74.4552,0.670268,0.5706,1.4990430000000001,9.041468934186751e-07,0.01,0.25,0.025,0.95,0.243,0.418,1.535,0.041
286,SiC-SiC,SCFS,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,74.4552,0.670268,0.5706,1.4990430000000001,9.041468934186751e-07,0.01,0.5,0.025,0.95,0.246,0.787,1.327,0.045
287,SiC-SiC,SCFS,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,74.4552,0.670268,0.5706,1.4990430000000001,9.041468934186751e-07,0.01,0.25,0.025,0.975,0.302,2.019,1.704,0.047
288,SiC-SiC,SCFS,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,74.4552,0.670268,0.5706,1.4990430000000001,9.041468934186751e-07,0.01,0.5,0.025,0.975,0.237,0.406,1.157,0.044
289,SiC-SiC,RBSN,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,219.9186,1.988828,3.294,14.99043,6.412743839835729e-06,0.01,0.25,0.025,0.95,0.269,0.136,6.084,0.194
290,SiC-SiC,RBSN,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,219.9186,1.988828,3.294,14.99043,6.412743839835729e-06,0.01,0.5,0.025,0.95,0.279,0.151,4.807,0.234
291,SiC-SiC,RBSN,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,219.9186,1.988828,3.294,14.99043,6.412743839835729e-06,0.01,0.25,0.025,0.975,0.326,0.157,6.822,0.308
292,SiC-SiC,RBSN,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,219.9186,1.988828,3.294,14.99043,6.412743839835729e-06,0.01,0.5,0.025,0.975,0.269,0.137,9.152,0.247
293,SiC-SiC,BN,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,35.848800000000004,4.99954,9.9,51.870000000000005,2.0648227763447025e-05,0.01,0.25,0.025,0.95,0.264,0.08,1.027,6.699
294,SiC-SiC,BN,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,35.848800000000004,4.99954,9.9,51.870000000000005,2.0648227763447025e-05,0.01,0.5,0.025,0.95,0.236,0.093,0.935,5.709
295,SiC-SiC,BN,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,35.848800000000004,4.99954,9.9,51.870000000000005,2.0648227763447025e-05,0.01,0.25,0.025,0.975,0.22,0.096,0.579,7.341
296,SiC-SiC,BN,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,35.848800000000004,4.99954,9.9,51.870000000000005,2.0648227763447025e-05,0.01,0.5,0.025,0.975,0.217,0.078,0.643,8.906
297,SiC-SiC,MgO,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,330.2226,2.8019399999999997,12.006,60.0,1.6271627705158106e-05,0.01,0.25,0.025,0.95,0.012,0.0,0.03,0.0
298,SiC-SiC,MgO,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,330.2226,2.8019399999999997,12.006,60.0,1.6271627705158106e-05,0.01,0.5,0.025,0.95,0.006,0.0,0.017,0.0
299,SiC-SiC,MgO,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,330.2226,2.8019399999999997,12.006,60.0,1.6271627705158106e-05,0.01,0.25,0.025,0.975,0.007,0.0,0.016,0.0
300,SiC-SiC,MgO,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,330.2226,2.8019399999999997,12.006,60.0,1.6271627705158106e-05,0.01,0.5,0.025,0.975,0.007,0.0,0.037,0.0
301,SiC-SiC,BeO,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,399.85200000000003,3.999632,7.704000000000001,264.53700000000003,8.237739357325106e-05,0.01,0.25,0.025,0.95,0.102,0.024,0.683,1.271
302,SiC-SiC,BeO,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,399.85200000000003,3.999632,7.704000000000001,264.53700000000003,8.237739357325106e-05,0.01,0.5,0.025,0.95,0.094,0.024,0.598,2.291
303,SiC-SiC,BeO,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,399.85200000000003,3.999632,7.704000000000001,264.53700000000003,8.237739357325106e-05,0.01,0.25,0.025,0.975,0.087,0.024,0.51,0.486
304,SiC-SiC,BeO,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,399.85200000000003,3.999632,7.704000000000001,264.53700000000003,8.237739357325106e-05,0.01,0.5,0.025,0.975,0.088,0.024,0.524,0.456
305,SiC-SiC,Ox-Ox,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,146.15279999999998,3.0,1.9440000000000002,3.6309000000000005,4.3977028122333875e-07,0.01,0.25,0.025,0.95,0.682,0.575,5.771,0.512
306,SiC-SiC,Ox-Ox,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,146.15279999999998,3.0,1.9440000000000002,3.6309000000000005,4.3977028122333875e-07,0.01,0.5,0.025,0.95,0.674,0.701,4.032,0.646
307,SiC-SiC,Ox-Ox,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,146.15279999999998,3.0,1.9440000000000002,3.6309000000000005,4.3977028122333875e-07,0.01,0.25,0.025,0.975,1.069,0.773,4.783,0.922
308,SiC-SiC,Ox-Ox,269.5554,29.99724,4.59,20.0564,1.4064796633941095e-05,146.15279999999998,3.0,1.9440000000000002,3.6309000000000005,4.3977028122333875e-07,0.01,0.5,0.025,0.975,0.664,0.573,5.597,0.718
309,C-SiC,Alumina,80.0,32.0,3.0,13.0,4.642857142857143e-06,379.8594,4.197416,8.298,35.9632,1.3944413425150443e-05,0.01,0.25,0.025,0.95,0.128,0.136,1.596,0.105
310,C-SiC,Alumina,80.0,32.0,3.0,13.0,4.642857142857143e-06,379.8594,4.197416,8.298,35.9632,1.3944413425150443e-05,0.01,0.5,0.025,0.95,0.117,0.14,1.28,0.132
311,C-SiC,Alumina,80.0,32.0,3.0,13.0,4.642857142857143e-06,379.8594,4.197416,8.298,35.9632,1.3944413425150443e-05,0.01,0.25,0.025,0.975,0.11,0.121,1.524,0.103
312,C-SiC,Alumina,80.0,32.0,3.0,13.0,4.642857142857143e-06,379.8594,4.197416,8.298,35.9632,1.3944413425150443e-05,0.01,0.5,0.025,0.975,0.1,0.11,1.253,0.113
313,C-SiC,SCFS,80.0,32.0,3.0,13.0,4.642857142857143e-06,74.4552,0.670268,0.5706,1.4990430000000001,9.041468934186751e-07,0.01,0.25,0.025,0.95,1.179,0.867,7.599,0.1
314,C-SiC,SCFS,80.0,32.0,3.0,13.0,4.642857142857143e-06,74.4552,0.670268,0.5706,1.4990430000000001,9.041468934186751e-07,0.01,0.5,0.025,0.95,1.228,1.51,6.099,0.11
315,C-SiC,SCFS,80.0,32.0,3.0,13.0,4.642857142857143e-06,74.4552,0.670268,0.5706,1.4990430000000001,9.041468934186751e-07,0.01,0.25,0.025,0.975,1.461,2.629,8.714,0.117
316,C-SiC,SCFS,80.0,32.0,3.0,13.0,4.642857142857143e-06,74.4552,0.670268,0.5706,1.4990430000000001,9.041468934186751e-07,0.01,0.5,0.025,0.975,1.129,0.839,4.715,0.11
317,C-SiC,RBSN,80.0,32.0,3.0,13.0,4.642857142857143e-06,219.9186,1.988828,3.294,14.99043,6.412743839835729e-06,0.01,0.25,0.025,0.95,0.518,0.171,15.876,0.198
318,C-SiC,RBSN,80.0,32.0,3.0,13.0,4.642857142857143e-06,219.9186,1.988828,3.294,14.99043,6.412743839835729e-06,0.01,0.5,0.025,0.95,0.478,0.182,14.694,0.237
319,C-SiC,RBSN,80.0,32.0,3.0,13.0,4.642857142857143e-06,219.9186,1.988828,3.294,14.99043,6.412743839835729e-06,0.01,0.25,0.025,0.975,0.473,0.17,22.154,0.261
320,C-SiC,RBSN,80.0,32.0,3.0,13.0,4.642857142857143e-06,219.9186,1.988828,3.294,14.99043,6.412743839835729e-06,0.01,0.5,0.025,0.975,0.451,0.157,16.705,0.237
321,C-SiC,BN,80.0,32.0,3.0,13.0,4.642857142857143e-06,35.848800000000004,4.99954,9.9,51.870000000000005,2.0648227763447025e-05,0.01,0.25,0.025,0.95,0.455,0.1,1.601,9.945
322,C-SiC,BN,80.0,32.0,3.0,13.0,4.642857142857143e-06,35.848800000000004,4.99954,9.9,51.870000000000005,2.0648227763447025e-05,0.01,0.5,0.025,0.95,0.402,0.1,1.55,8.013
323,C-SiC,BN,80.0,32.0,3.0,13.0,4.642857142857143e-06,35.848800000000004,4.99954,9.9,51.870000000000005,2.0648227763447025e-05,0.01,0.25,0.025,0.975,0.378,0.101,1.078,11.322
324,C-SiC,BN,80.0,32.0,3.0,13.0,4.642857142857143e-06,35.848800000000004,4.99954,9.9,51.870000000000005,2.0648227763447025e-05,0.01,0.5,0.025,0.975,0.369,0.096,1.159,12.289
325,C-SiC,MgO,80.0,32.0,3.0,13.0,4.642857142857143e-06,330.2226,2.8019399999999997,12.006,60.0,1.6271627705158106e-05,0.01,0.25,0.025,0.95,0.013,0.0,0.053,0.0
326,C-SiC,MgO,80.0,32.0,3.0,13.0,4.642857142857143e-06,330.2226,2.8019399999999997,12.006,60.0,1.6271627705158106e-05,0.01,0.5,0.025,0.95,0.013,0.0,0.041,0.0
327,C-SiC,MgO,80.0,32.0,3.0,13.0,4.642857142857143e-06,330.2226,2.8019399999999997,12.006,60.0,1.6271627705158106e-05,0.01,0.25,0.025,0.975,0.011,0.0,0.038,0.0
328,C-SiC,MgO,80.0,32.0,3.0,13.0,4.642857142857143e-06,330.2226,2.8019399999999997,12.006,60.0,1.6271627705158106e-05,0.01,0.5,0.025,0.975,0.014,0.0,0.06,0.0
329,C-SiC,BeO,80.0,32.0,3.0,13.0,4.642857142857143e-06,399.85200000000003,3.999632,7.704000000000001,264.53700000000003,8.237739357325106e-05,0.01,0.25,0.025,0.95,0.151,0.03,1.876,0.099
330,C-SiC,BeO,80.0,32.0,3.0,13.0,4.642857142857143e-06,399.85200000000003,3.999632,7.704000000000001,264.53700000000003,8.237739357325106e-05,0.01,0.5,0.025,0.95,0.137,0.032,1.51,0.124
331,C-SiC,BeO,80.0,32.0,3.0,13.0,4.642857142857143e-06,399.85200000000003,3.999632,7.704000000000001,264.53700000000003,8.237739357325106e-05,0.01,0.25,0.025,0.975,0.128,0.028,1.81,0.101
332,C-SiC,BeO,80.0,32.0,3.0,13.0,4.642857142857143e-06,399.85200000000003,3.999632,7.704000000000001,264.53700000000003,8.237739357325106e-05,0.01,0.5,0.025,0.975,0.118,0.025,1.499,0.108
333,C-SiC,Ox-Ox,80.0,32.0,3.0,13.0,4.642857142857143e-06,146.15279999999998,3.0,1.9440000000000002,3.6309000000000005,4.3977028122333875e-07,0.01,0.25,0.025,0.95,1.947,0.759,32.147,0.839
334,C-SiC,Ox-Ox,80.0,32.0,3.0,13.0,4.642857142857143e-06,146.15279999999998,3.0,1.9440000000000002,3.6309000000000005,4.3977028122333875e-07,0.01,0.5,0.025,0.95,1.909,0.817,20.827,1.058
335,C-SiC,Ox-Ox,80.0,32.0,3.0,13.0,4.642857142857143e-06,146.15279999999998,3.0,1.9440000000000002,3.6309000000000005,4.3977028122333875e-07,0.01,0.25,0.025,0.975,1.91,0.814,22.534,1.361
336,C-SiC,Ox-Ox,80.0,32.0,3.0,13.0,4.642857142857143e-06,146.15279999999998,3.0,1.9440000000000002,3.6309000000000005,4.3977028122333875e-07,0.01,0.5,0.025,0.975,2.006,0.754,28.455,1.123
